id,분류,접수일,만족도,내용,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7
162,교환요청,2026-09-21 17:00:00,2,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 162)",-6.617,4.569,-2.144,-2.843,0.739,3.122,-4.838,-0.675
163,결제오류,2026-09-12 21:00:00,,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 163)",2.876,1.505,-3.817,-3.374,-3.508,-2.846,0.622,-2.628
164,결제오류,2026-09-05 03:00:00,3,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 164)",3.009,1.432,-2.711,-4.669,-3.770,-0.436,1.722,-2.609
165,교환요청,2026-09-03 23:00:00,3,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 165)",-4.886,5.561,-1.927,-3.907,0.747,3.255,-5.030,-2.279
166,교환요청,2026-09-17 05:00:00,2,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 166)",-4.126,4.170,-2.895,-4.628,0.189,3.621,-4.103,0.470
167,결제오류,2026-09-03 07:00:00,3,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 167)",2.996,1.875,-3.063,-3.625,-3.995,-1.713,0.714,-3.312
168,결제오류,2026-09-14 23:00:00,1,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 168)",3.719,1.658,-3.429,-3.723,-3.623,-1.265,1.238,-3.470
169,결제오류,2026-09-10 11:00:00,4,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 169)",1.160,1.693,-3.123,-4.207,-2.860,-1.021,0.688,-3.361
170,환불요청,2026-09-11 12:00:00,1,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 170)",-3.152,0.989,-2.571,0.978,0.728,3.038,-3.664,3.242
171,배송문의,2026-09-05 08:00:00,2,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 171)",1.992,-0.665,2.803,-4.300,5.397,0.154,-1.263,-6.914
172,배송문의,2026-09-17 18:00:00,5,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 172)",2.040,-1.265,2.775,-4.156,6.485,-0.466,-1.508,-6.798
173,결제오류,2026-09-16 18:00:00,4,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 173)",1.485,3.188,-2.965,-3.513,-4.206,-1.671,0.531,-4.052
174,결제오류,2026-09-12 18:00:00,1,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 174)",2.443,0.698,-2.960,-3.095,-3.412,-1.550,1.668,-2.904
175,배송문의,2026-09-02 00:00:00,2,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 175)",0.782,-1.914,2.069,-4.132,6.469,-0.025,-1.468,-6.847
176,쿠폰문의,2026-09-14 18:00:00,4,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 176)",-3.853,3.026,-1.076,0.646,1.912,4.083,-2.328,-1.515
177,쿠폰문의,2026-09-06 12:00:00,3,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 177)",-3.717,4.032,-0.828,0.649,1.839,4.427,-1.168,-0.392
178,배송문의,2026-09-14 13:00:00,4,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 178)",1.152,-1.899,2.378,-3.937,5.619,-0.755,-1.467,-7.319
179,결제오류,2026-09-21 21:00:00,4,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 179)",1.768,1.203,-3.328,-4.771,-3.650,-1.426,-0.214,-3.938
180,교환요청,2026-09-12 17:00:00,5,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 180)",-5.500,5.348,-2.107,-3.474,1.509,2.837,-4.988,0.126
181,환불요청,2026-09-13 01:00:00,5,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 181)",-3.814,1.328,-2.613,1.405,-0.169,2.962,-3.024,3.965
182,쿠폰문의,2026-09-13 14:00:00,5,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 182)",-2.645,3.942,-1.199,-0.079,1.857,4.720,-1.739,0.250
183,쿠폰문의,2026-09-05 14:00:00,2,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 183)",-2.980,2.768,-1.187,-0.658,1.586,4.781,-0.637,-1.129
184,환불요청,2026-09-15 01:00:00,4,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 184)",-3.618,0.047,-1.512,2.550,0.164,3.144,-3.254,4.261
185,교환요청,2026-09-06 23:00:00,2,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 185)",-4.715,4.441,-2.254,-4.372,-0.034,2.093,-4.881,-1.094
186,결제오류,2026-09-01 22:00:00,2,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 186)",1.664,0.462,-3.523,-3.615,-3.852,-0.775,0.897,-3.098
187,쿠폰문의,2026-09-08 23:00:00,2,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 187)",-3.154,3.759,-0.887,1.290,0.987,5.485,-1.609,-1.684
188,환불요청,2026-09-15 15:00:00,4,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 188)",-4.053,1.030,-2.011,2.008,1.144,2.878,-3.503,3.967
189,쿠폰문의,2026-09-13 12:00:00,4,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 189)",-2.679,4.138,-0.955,0.771,1.819,4.524,-1.994,-0.854
190,쿠폰문의,2026-09-08 08:00:00,2,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 190)",-2.689,3.959,-1.007,0.192,1.824,4.398,-2.413,-0.571
191,교환요청,2026-09-16 23:00:00,5,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 191)",-6.297,4.795,-1.848,-4.499,1.432,2.984,-4.911,-1.539
192,환불요청,2026-09-11 12:00:00,4,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 192)",-3.899,1.422,-2.021,0.246,0.730,3.124,-3.894,5.214
193,교환요청,2026-09-21 07:00:00,3,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 193)",-5.153,4.319,-3.269,-4.603,0.868,3.508,-4.781,-0.752
194,결제오류,2026-09-08 20:00:00,5,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 194)",2.520,1.983,-3.740,-4.477,-3.363,-2.057,1.110,-3.995
195,배송문의,2026-09-12 23:00:00,5,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 195)",0.475,-2.815,1.964,-4.773,5.739,0.318,-2.922,-7.149
196,교환요청,2026-09-14 09:00:00,,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 196)",-6.380,5.456,-2.461,-4.586,0.830,3.024,-3.995,-0.297
197,교환요청,2026-09-08 07:00:00,4,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 197)",-4.919,4.728,-0.296,-4.604,-0.391,1.595,-4.494,-1.019
198,교환요청,2026-09-20 09:00:00,4,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 198)",-5.646,5.077,-2.072,-2.563,1.070,2.883,-4.906,-1.143
199,환불요청,2026-09-09 14:00:00,1,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 199)",-3.676,1.388,-2.822,0.677,1.171,3.641,-2.987,3.624
200,환불요청,2026-09-18 21:00:00,4,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 200)",-2.656,1.602,-1.530,1.260,0.138,4.370,-3.405,4.320
